Kecamatan,Sekolah Negeri,Sekolah Swasta,Guru Negeri,Guru Swasta,Murid Negeri,Murid Swasta,Tahun Ajaran
Madukara, 27 , 1 , 154 , 30 ," 2,875 ", 348 ,2023/2024
Banjarmangu, 25 , - , 163 , - ," 2,674 ", 164 ,2023/2024
Wanadadi, 22 , 2 , 154 , 12 ," 1,822 ", 404 ,2023/2024
Rakit, 31 , - , 190 , - ," 2,730 ", 136 ,2023/2024
Punggelan, 41 , 1 , 282 , 6 ," 4,992 ", 258 ,2023/2024
Karangkobar, 26 , 1 , 182 , 5 ," 2,637 ", 96 ,2023/2024
Pagentan, 28 , - , 198 , - ," 2,959 ", 63 ,2023/2024
Pejawaran, 29 , - , 189 , - ," 3,294 ", 63 ,2023/2024
Batur, 23 , 1 , 155 , 4 ," 3,314 ", 313 ,2023/2024
Wanayasa, 29 , - , 179 , - ," 3,442 ", 80 ,2023/2024
Kalibening, 30 , 1 , 200 , 1 ," 3,819 ", 84 ,2023/2024
Pandanarum, 20 , - , 109 , - ," 1,631 ", 25 ,2023/2024
Susukan, 43 , 1 , 206 , - ," 4,842 "," 6,661 ",2024/2025
Purwareja Klampok, 26 , 3 , 127 , 31 ," 2,810 "," 6,194 ",2024/2025
Mandiraja, 43 , - , 192 , - ," 5,065 "," 9,156 ",2024/2025
Purwanegara, 44 , 1 , 206 , 5 ," 5,141 "," 9,795 ",2024/2025
Bawang, 35 , 2 , 180 , 2 ," 3,750 "," 8,109 ",2024/2025
Banjarnegara, 29 , 7 , 171 , 39 ," 4,482 "," 10,627 ",2024/2025
Pagedongan, 22 , - , 90 , - ," 2,542 "," 5,877 ",2024/2025
Sigaluh, 23 , - , 103 , - ," 2,053 "," 3,332 ",2024/2025
Madukara, 27 , 1 , 118 , 27 ," 2,888 "," 5,592 ",2024/2025
Banjarmangu, 25 , - , 130 , - ," 2,672 "," 6,923 ",2024/2025
Wanadadi, 22 , 2 , 121 , 13 ," 1,878 "," 4,802 ",2024/2025
Rakit, 31 , - , 153 , - ," 2,912 "," 7,757 ",2024/2025
Punggelan, 41 , 1 , 235 , 3 ," 5,107 "," 10,220 ",2024/2025
Karangkobar, 26 , 1 , 153 , 7 ," 2,649 "," 4,261 ",2024/2025
Pagentan, 28 , - , 166 , - ," 3,014 "," 3,844 ",2024/2025
Pejawaran, 29 , - , 164 , - ," 3,296 "," 5,443 ",2024/2025
Batur, 23 , 1 , 119 , 3 ," 3,297 "," 6,500 ",2024/2025
Wanayasa, 29 , - , 139 , - ," 3,487 "," 6,900 ",2024/2025
Kalibening, 30 , 1 , 167 , 1 ," 3,887 "," 5,969 ",2024/2025
Pandanarum, 19 , - , 95 , - ," 1,713 "," 2,232 ",2024/2025
