Kecamatan,Sekolah Negeri,Sekolah Swasta,Guru Negeri,Guru Swasta,Murid Negeri,Murid Swasta,Tahun Ajaran
Banjarmangu, 2 , 2 , 41 , 5 ," 2,963 ", 780 ,2024/2025
Wanadadi, 2 , 2 , 53 , 13 ," 2,721 ", 623 ,2024/2025
Rakit, 2 , 1 , 38 , 11 ," 2,335 ", 240 ,2024/2025
Punggelan, 6 , 1 , 95 , 1 ," 5,349 ", 870 ,2024/2025
Karangkobar, 3 , 1 , 36 , 7 ," 2,031 ", 416 ,2024/2025
Pagentan, 5 , - , 57 , - ," 2,697 ", 449 ,2024/2025
Pejawaran, 4 , 1 , 36 , 6 ," 1,620 ", 923 ,2024/2025
Batur, 2 , - , 21 , - ," 1,079 "," 1,341 ",2024/2025
Wanayasa, 4 , - , 29 , - ," 1,873 ", 669 ,2024/2025
Kalibening, 6 , 1 , 68 , 3 ," 3,546 ", 340 ,2024/2025
Pandanarum, 4 , - , 30 , - ," 1,568 ", 104 ,2024/2025
